algorithm,load_scale,utility_mean_mean,utility_mean_ci95,qos_success_mean,qos_success_ci95,delay_mean_mean,delay_mean_ci95,urlcc_violation_prob_saa_mean,urlcc_violation_prob_saa_ci95,fairness_jain_mean,fairness_jain_ci95,algo_runtime_ms_mean,algo_runtime_ms_ci95
C_ADMM,0.8,0.8953280514506817,0.21523813286675636,0.7594444444444445,0.08074332179051655,0.09199299196391607,0.05421901685618848,0.012500000000000002,0.010091809453860654,0.9203903717112517,0.012555156789849795,5.714185502244315,2.563214743424402
C_ADMM,1.0,0.7856990920576993,0.22996573577638654,0.7372222222222221,0.02124600776207392,0.12075875351201178,0.03673876537300907,0.014479166666666666,0.016455459285801742,0.9185259602101032,0.03622379867130504,4.848695666102382,0.45814214491018673
C_ADMM,1.2,0.6649278561496034,0.03278897169742093,0.7138888888888889,0.02083869826432774,0.1570081405324054,0.010200734437212004,0.021041666666666667,0.024748208966084376,0.9191070925473528,0.02317702522660957,4.557554167016254,0.9915769908671432
C_ADMM,1.4,0.5658179819170719,0.25924317141430786,0.6738888888888889,0.08786005376151033,0.1674838749993324,0.0577502249349866,0.011875000000000002,0.010091809453860654,0.9244110637609091,0.0020727788737738327,5.036743333718429,0.11891661707510172
C_ADMM,1.6,0.388912913698406,0.18187890396272408,0.6316666666666667,0.05187692718812671,0.1842422029076797,0.05114098140909395,0.005833333333333333,0.002371614395968585,0.9239827376745704,0.009867135321847654,5.320181666271917,1.4301557368538607
Independent_MAPPO_PPO,0.8,0.616145503140821,0.20274050917951372,0.6405555555555555,0.062011369439475175,0.011364472444871912,0.004392303922858425,0.36968749999999995,0.129833704657022,0.9661917186544082,0.010991049554312394,3.966120833841463,0.902813601990054
Independent_MAPPO_PPO,1.0,0.47667405645125555,0.13828902675969718,0.6222222222222222,0.03521224030999602,0.021994050869344143,0.003912844832888743,0.34958333333333336,0.07125140964804036,0.9682823431672722,0.008927958536572835,4.103435498254839,0.5140878597768129
Independent_MAPPO_PPO,1.2,0.34194795680218354,0.16992749835444562,0.6033333333333334,0.018972915167748697,0.05698371307364521,0.06393315217841483,0.3397916666666667,0.06739606657493787,0.9642554814698946,0.010384117170725963,4.203935834812,0.49032818909688175
Independent_MAPPO_PPO,1.4,0.08195699659525853,0.2389695370865903,0.5516666666666666,0.047023967944004354,0.09989402198176374,0.020096241640977515,0.4111458333333333,0.1101497539922018,0.9668730276241639,0.005596298136551777,3.939943333583263,0.7099051296542306
Independent_MAPPO_PPO,1.6,0.058781889039359235,0.1587589524750197,0.5527777777777777,0.05339665637699941,0.11021470931439996,0.02898712222402895,0.34989583333333335,0.024478888205059512,0.9635171647864401,0.006233785177849118,4.038863667810801,0.44074933814990686
MAAN_PPO,0.8,0.6546522192322182,0.10780639158721751,0.6416666666666666,0.04702396794400446,0.010291934425760117,0.00793642800352171,0.3517708333333333,0.04326629609731656,0.9639806729181903,0.0064730270878157236,4.4623026679619215,1.8586806930029347
MAAN_PPO,1.0,0.5261297770264686,0.05678575294023722,0.6083333333333333,0.014927809824864266,0.014938831293443944,0.004909961096675017,0.35520833333333335,0.05861055255210698,0.9652100324412313,0.011063902369556894,4.264730500678222,0.9629196651206693
MAAN_PPO,1.2,0.23258205415411556,0.10111035588708951,0.5788888888888888,0.026938018735917627,0.06074408782271932,0.010846343251844028,0.39187500000000003,0.015506441227609991,0.9639154787745308,0.009889714962369652,4.3051413336070254,0.679960764721124
MAAN_PPO,1.4,0.16767009663486787,0.20091987820235935,0.5672222222222222,0.04084653448591605,0.08758745887740342,0.03791200047605173,0.36489583333333336,0.07856428138472354,0.9668308246354792,0.006852616024914959,3.963687835591069,0.707467193512267
MAAN_PPO,1.6,0.045487121190888165,0.06664500972707685,0.5477777777777778,0.02908001645009018,0.11665160166880544,0.008833116519907376,0.3542708333333333,0.08926469806220852,0.9636059767824513,0.002824714953489448,4.404418167056671,1.0814262199996916
OGD_Bandit,0.8,-0.8974283589693256,0.8561301762197787,0.3405555555555555,0.1428429186135529,0.4163940493546679,0.31325731099027077,0.5283333333333333,0.3888076148903416,0.787618571640159,0.05850843570403229,0.3986488326336257,0.21259621088436886
OGD_Bandit,1.0,-1.0115444452233624,0.8652705982117345,0.34,0.28235636827682137,0.37810267070649056,0.23019126260667933,0.6785416666666667,0.597488161314833,0.7923797927562942,0.03831876620924432,0.41976333275670186,0.3577835812256478
OGD_Bandit,1.2,-1.216623301716699,0.4700675507908542,0.30666666666666664,0.14719665960765854,0.49250184108445,0.14083656947656858,0.6354166666666666,0.2911516324134484,0.7850875394106985,0.10486337049200158,0.416349332081154,0.08360993445052235
OGD_Bandit,1.4,-1.236984695827907,0.3531459212107564,0.3172222222222222,0.19796763351111288,0.47756646439004097,0.25974615317686084,0.61125,0.2625007090668107,0.8250036518580147,0.04111678102059465,0.333025832757509,0.11954297397049117
OGD_Bandit,1.6,-1.294037299116826,0.9388894605804314,0.3244444444444445,0.3250893173548197,0.5514341906382892,0.43138074304284535,0.6966666666666667,0.5217984780783775,0.808580895071766,0.07026656005561703,0.41179666586685926,0.2548781882126752
Static_Greedy,0.8,-1.172418065316725,0.23457234201877994,0.47222222222222227,0.0371084070184127,0.3789371571972682,0.07877173967626136,0.91125,0.08614054780906608,0.9005955810670206,0.004638483250315426,0.4697829995226736,0.18056739179405087
Static_Greedy,1.0,-1.3779674327230005,0.060556068305303155,0.40055555555555555,0.00861857502079688,0.47240820903939457,0.043091263669173756,0.895,0.031080818752305502,0.9031372157753889,0.0006079361650863784,0.42371816700324416,0.12441069710618352
Static_Greedy,1.2,-1.4339929963411666,0.09586057189415223,0.385,0.03537413652136045,0.5200482422591389,0.026779544668973206,0.8636458333333333,0.04935620404738085,0.898683978814567,0.004961215833994642,0.47791916673304513,0.07146199270025648
Static_Greedy,1.4,-1.6539289107502,0.11739844892760157,0.32,0.01804684207870643,0.6014446240276164,0.06720018949584317,0.8851041666666667,0.05675617067301425,0.90043279458859,0.009157340875295258,0.4584168322617188,0.26118637518151955
Static_Greedy,1.6,-1.8629095186120495,0.34662254584476165,0.2622222222222222,0.11461284045380223,0.6750108454189524,0.10745942585303885,0.9070833333333334,0.07515355911286911,0.8984224090547687,0.011673480337117938,0.47061516670510173,0.12480222555078016
