load_scale,algorithm,n_seeds,utility_mean_pval_vs_MAAN_PPO,utility_mean_delta_vs_MAAN_PPO,qos_success_pval_vs_MAAN_PPO,qos_success_delta_vs_MAAN_PPO,delay_mean_pval_vs_MAAN_PPO,delay_mean_delta_vs_MAAN_PPO,utility_mean_padj_vs_MAAN_PPO,qos_success_padj_vs_MAAN_PPO,delay_mean_padj_vs_MAAN_PPO
0.8,Independent_MAPPO_PPO,3,0.5568163420340844,0.03850671609139722,0.8724846573873335,0.0011111111111110628,0.5022003135413449,-0.001072538019111795,1.0,1.0,1.0
0.8,C_ADMM,3,0.06097886768234848,-0.24067583221846356,0.010662709309589236,-0.11777777777777787,0.028983194899605238,-0.08170105753815596,0.3658732060940909,0.12402688424237024,0.26084875409644714
0.8,Static_Greedy,3,0.0017150423663529319,1.8270702845489433,0.004558799383087607,0.16944444444444434,0.0028981172785348883,-0.36864522277150813,0.02915572022799984,0.07294079012940172,0.043471759178023324
0.8,OGD_Bandit,3,0.014148051324665524,1.5520805782015437,0.01225383733989468,0.3011111111111111,0.031562461220701075,-0.4061021149289078,0.15562856457132077,0.12402688424237024,0.26084875409644714
1.0,Independent_MAPPO_PPO,3,0.2950086401829022,0.049455720575213025,0.2506366883372725,-0.01388888888888895,0.04493933736392488,-0.007055219575900199,0.8850259205487065,0.7519100650118175,0.26963602418354926
1.0,C_ADMM,3,0.02377475426474463,-0.2595693150312307,0.0011314004234787758,-0.12888888888888883,0.005115520275598513,-0.10581992221856783,0.17974302367405523,0.021360213851678984,0.06650176358278066
1.0,Static_Greedy,3,3.436737686998835e-05,1.904097209749469,9.292650605677842e-05,0.20777777777777773,0.00038298223164442275,-0.45746937774595064,0.0006529801605297788,0.0018585301211355683,0.0072766624012440325
1.0,OGD_Bandit,3,0.016973461330083435,1.537674222249831,0.05615263218535951,0.26833333333333326,0.020849913523901354,-0.36316383941304664,0.16973461330083434,0.3369157931121571,0.22906912971503457
1.2,Independent_MAPPO_PPO,3,0.19360006964949053,-0.10936590264806798,0.14751731587865824,-0.024444444444444602,0.8404211256469912,0.003760374749074105,0.8325470310221027,0.590069263514633,1.0
1.2,C_ADMM,3,0.002757253074781777,-0.4323458019954878,0.005492193799294027,-0.13500000000000012,0.002456452176346141,-0.09626405270968608,0.04135879612172665,0.0823829069894104,0.039303234821538253
1.2,Static_Greedy,3,6.6770437861296934e-06,1.666575050495282,0.0013355680687617384,0.19388888888888878,0.0002543723152980879,-0.4593041544364196,0.00013354087572259386,0.022704657168949552,0.0050874463059617575
1.2,OGD_Bandit,3,0.008281985288545318,1.4492053558708144,0.014453505693031722,0.27222222222222214,0.005698449869370319,-0.43175775326173066,0.10766580875108914,0.12402688424237024,0.06838139843244383
1.4,Independent_MAPPO_PPO,3,0.16650940620442053,0.08571310003960934,0.008810744433295952,0.015555555555555545,0.14037207687833456,-0.012306563104360319,0.8325470310221027,0.11453967763284738,0.5614883075133382
1.4,C_ADMM,3,0.0028026032759203194,-0.398147885282204,0.010335573686864186,-0.10666666666666669,0.003919622226878919,-0.07989641612192898,0.04135879612172665,0.12402688424237024,0.05487471117630486
1.4,Static_Greedy,3,0.0002192626352927438,1.8215990073850679,0.001124221781667315,0.24722222222222218,0.0007208684411244463,-0.5138571651502131,0.003946727435269389,0.021360213851678984,0.012975631940240033
1.4,OGD_Bandit,3,0.00829196259299087,1.4046547924627748,0.04250551063089939,0.25,0.02947393356167926,-0.38997900551263753,0.10766580875108914,0.2975385744162957,0.26084875409644714
1.6,Independent_MAPPO_PPO,3,0.819542158431976,-0.01329476784847107,0.6179712760197904,-0.004999999999999893,0.39472871534284804,0.006436892354405477,1.0,1.0,1.0
1.6,C_ADMM,3,0.019570043501265316,-0.34342579250751787,0.012438883939976468,-0.0838888888888889,0.020824466337730416,-0.06759060123887427,0.17613039151138785,0.12402688424237024,0.22906912971503457
1.6,Static_Greedy,3,0.0023803712628265015,1.9083966398029377,0.006859236018434963,0.2855555555555556,0.0021033594086334413,-0.558359243750147,0.038085940205224024,0.09602930425808948,0.0357571099467685
1.6,OGD_Bandit,3,0.022467877959256904,1.3395244203077143,0.11186188210132933,0.22333333333333333,0.05074439544576388,-0.4347825889694838,0.17974302367405523,0.5593094105066466,0.26963602418354926
