algorithm,load_scale,utility_mean_mean,utility_mean_ci95,qos_success_mean,qos_success_ci95,delay_mean_mean,delay_mean_ci95,urlcc_violation_prob_saa_mean,urlcc_violation_prob_saa_ci95,fairness_jain_mean,fairness_jain_ci95,algo_runtime_ms_mean,algo_runtime_ms_ci95
C_ADMM,0.8,0.8905257477036788,0.0381423119049671,0.758,0.009982824517718206,0.08755086267600311,0.009725579392150074,0.021046875000000003,0.003942687393749882,0.9187542430345541,0.0035963298475103736,5.797543500530689,0.7489430507549177
C_ADMM,1.0,0.7770945783969806,0.014202143007099611,0.7344444444444443,0.007088907035679727,0.12759566461882849,0.005325420559367237,0.015713541666666667,0.005663186500520747,0.9214674084640991,0.0034071112097574414,5.685758532626399,0.6145008029552678
C_ADMM,1.2,0.6626197659694161,0.06301392811261561,0.7041111111111111,0.01748452954099213,0.15604599950796694,0.013752976913586025,0.014562499999999999,0.007791524068802157,0.9194065695761414,0.0030339028774929687,5.786517198993049,0.4708458953525193
C_ADMM,1.4,0.5474185034338511,0.02206048176718866,0.6738888888888889,0.01351861878367753,0.17054255497849383,0.005281353327281406,0.010874999999999998,0.0032916634565882245,0.9262731713935333,0.00400149713936871,5.947729299562828,1.1601131865080851
C_ADMM,1.6,0.38332021613651385,0.055222052715095254,0.6354444444444444,0.013655513600736168,0.1941319678149601,0.010980762895829934,0.009067708333333334,0.004313162559789729,0.9271459892556683,0.005636706233778518,5.961814533201202,0.9748182846036528
Independent_MAPPO_PPO,0.8,0.6232993896270239,0.04561164771331546,0.6346666666666666,0.013915303776769705,0.010533897695348281,0.000917794848150517,0.373375,0.022978862803986297,0.9635010355118366,0.0017503860316332484,5.163721400099651,0.6408706609948197
Independent_MAPPO_PPO,1.0,0.47863656015792927,0.034237051824558926,0.6094444444444443,0.008573365133938712,0.019300923086190167,0.0028182030357721713,0.34834375,0.032772371875306336,0.9643510721758665,0.0012119448924158883,5.097445567507141,1.0438127963799315
Independent_MAPPO_PPO,1.2,0.3194181480293546,0.06524431362742689,0.5953333333333334,0.01358783899445849,0.05552027061942064,0.012676870097555552,0.362734375,0.022513273875582236,0.9618887078638195,0.0025180661328526505,4.764381666027475,0.6818600578565098
Independent_MAPPO_PPO,1.4,0.11459809463921455,0.04824808055646204,0.5621111111111111,0.012588692263599403,0.0952802073827454,0.006217847642041596,0.3936041666666667,0.020422619709551667,0.9638553778886657,0.002940637624907368,5.07698900027511,0.6909188932311299
Independent_MAPPO_PPO,1.6,0.03751712109219506,0.03055998661895101,0.5516666666666666,0.011059810306887321,0.11521849457016653,0.008264763770459968,0.3662760416666666,0.008569930217573931,0.9644803961704665,0.0017715944065911087,4.865791432714711,0.33254413585280956
MAAN_PPO,0.8,0.6264453782974445,0.025815839233785526,0.6415555555555555,0.00636106397164179,0.011377298687574517,0.002589094807677009,0.36898958333333337,0.0316191720340044,0.963434659232621,0.0037222286207151843,5.092733433101482,0.30561958358365426
MAAN_PPO,1.0,0.4804451718459884,0.02818709502829856,0.6088888888888889,0.0045268775009460445,0.018908768637061504,0.002955817570731213,0.35934375,0.01670934835633392,0.9633787653449096,0.001489099034540823,5.20844310077761,1.0506831993995267
MAAN_PPO,1.2,0.3195178471528733,0.06141018599860967,0.5918888888888888,0.009597008863562509,0.05496846892667895,0.008528396841271048,0.361875,0.02717010424506209,0.9628224654010641,0.0017056498511239613,4.941312399828651,0.7528231534436767
MAAN_PPO,1.4,0.16732555205496694,0.03268678331576217,0.5724444444444444,0.0116622615129749,0.0879943111894524,0.008710837504465562,0.37321875,0.025573299330709294,0.9643996624860316,0.002980866668394975,4.859616600985949,0.8488362563141582
MAAN_PPO,1.6,0.05402738777491483,0.07110468867657127,0.5567777777777777,0.013960372282779328,0.11328525519000143,0.012654790326878718,0.35879687499999996,0.03292269005015566,0.9643154431447097,0.0016240501709224196,4.795953365023403,0.7824603436249082
OGD_Bandit,0.8,-0.9403708793577721,0.26471197418764264,0.3501111111111111,0.03454871243293122,0.4061205298864596,0.057558703947107076,0.6443541666666666,0.12694363294247654,0.8010519486691496,0.02630628356039243,0.3917447002604604,0.04613133360992569
OGD_Bandit,1.0,-0.9957417889069374,0.30323281993989654,0.37166666666666665,0.05751358384551264,0.36741158104532395,0.09518883110668662,0.69409375,0.14947215354019613,0.794900053173289,0.015200601621841451,0.43065576693819213,0.04391221545785756
OGD_Bandit,1.2,-1.0906216085937044,0.2891457476152047,0.3399999999999999,0.06916728319777518,0.43867270205944325,0.10122456463370653,0.6840520833333333,0.12928621546299673,0.8163652898589397,0.022217478033669195,0.3822872319142334,0.042829749407207685
OGD_Bandit,1.4,-1.3825257320886133,0.225464931247207,0.26555555555555554,0.04384953891304224,0.567361771526047,0.06560424491295722,0.6748385416666666,0.13671231697438524,0.8097292865720506,0.030664593451506073,0.4431784664435933,0.12135489528407176
OGD_Bandit,1.6,-1.3950844653257628,0.17358809579424697,0.3098888888888888,0.059987450908311084,0.5796892751274328,0.0683564953133578,0.7558229166666667,0.10166436888931754,0.8169594114129578,0.022326310671025237,0.39338876648495597,0.054745644435059686
Static_Greedy,0.8,-1.1237864633940706,0.04897561705153235,0.48666666666666664,0.014913641924117668,0.3729724541752135,0.016888671191835278,0.9074218750000002,0.010931856822816135,0.8987488577850488,0.002466155844958197,0.49189363326877356,0.0581995287098911
Static_Greedy,1.0,-1.400362938683213,0.03562176763395097,0.40433333333333327,0.007875041617142076,0.48626260086940803,0.009674999094434185,0.9070364583333334,0.028817751383763267,0.8984946315318022,0.0016977871497668789,0.5219405673560686,0.12557558400113691
Static_Greedy,1.2,-1.5136123796704928,0.10105429118093888,0.3615555555555556,0.027969787774771375,0.5403788254825505,0.030157218167818644,0.8808020833333333,0.03467171680425918,0.8982719181692467,0.0023279655288065753,0.4793511343304999,0.1601731536919741
Static_Greedy,1.4,-1.7243373860486486,0.03232500532411123,0.3015555555555555,0.004372881701268022,0.6229620866501869,0.009943898245181913,0.9033906250000001,0.028038229551023308,0.8993433423345875,0.0024544220426498844,0.5187313003116287,0.13067889469138264
Static_Greedy,1.6,-1.8493890569796159,0.06438657356900684,0.26166666666666666,0.01669009631628908,0.6745354926214183,0.01557042577904176,0.9068802083333334,0.0326397801843037,0.8985921578178048,0.0021362006296589686,0.504023766804797,0.09275959018409767
